gene chrom strand TSS TES
CHI3L1 1 r 6500 7000
ATP1A1 1 f 55000 59200
CPSF3L 1 r 1246964 1260067
GBP5 1 r 89724633 89738544
GBP4 1 r 92000 100200
FCRL3 1 r 157647977 157670647
LRRC42 1 f 54411998 54433841
FCRL1 1 r 157764193 157789940
SLC26A9 1 r 205882176 205912588
VPS45 1 f 150039724 150117505
CNKSR1 1 f 26503980 26516375
PCNXL2 1 r 233119881 233431459
AGL 1 f 100316044 100389579
SNORD85 1 r 31441009 31441084
P3H1 1 r 43212005 43232755
ZNF687 1 f 151254787 151264381
ZYG11B 1 f 53192130 53293013
YRDC 1 r 38268613 38273865
SLC9A1 1 r 27425299 27481621
ST3GAL3 1 f 44173203 44396837
NMNAT1 1 f 10003485 10041824
MIR4259 1 r 159869768 159869869
KCNH1 1 r 210851656 211307457
CD46 1 f 207925382 207968861
RGS21 1 f 192286121 192336414
F3 1 r 94994731 95007413
MASP2 1 r 11086579 11107296
LINC00272 1 f 182376755 182383948
LINC01160 1 r 112141628 112150940
TNNT2 1 r 201328135 201346828
TNFRSF4 1 r 1146705 1149548
TNFSF4 1 r 173152869 173176452
GBA 1 r 155204238 155214653
SLC25A3P1 1 r 53904042 53905693
ZBTB48 1 f 6640050 6649340
NPHP4 1 r 5922867 6052533
HSD11B1 1 f 209878135 209908295
SCARNA2 1 f 109642814 109643234
CC2D1B 1 r 52816264 52831877
SNORA16A 1 r 28907431 28907565
TDRD10 1 f 154474694 154520623
FAAP20 1 r 2115898 2126214
ELF3 1 f 201979689 201986315
TM2D1 1 r 62146718 62191095
ATAD3B 1 f 1407163 1431582
SPRTN 1 f 231473681 231490773
STK40 1 r 36805219 36851528
PAQR6 1 r 156213111 156217908
THBS3 1 r 155165378 155177772
LRRC8C 1 f 90098643 90185094
NBPF3 1 f 21766582 21811393
RAD54L 1 f 46713366 46744145
LUZP1 1 r 23410515 23495351
PARK7 1 f 8021713 8045342
VPS45 1 f 150039349 150117505
LYPLA2 1 f 24117645 24122029
NBPF10 1 f 145293370 146466121
ALDH4A1 1 r 19197923 19217385
CSMD2-AS1 1 f 34334556 34351059
RNF11 1 f 51701944 51739119
SPRR1B 1 f 153003678 153005376
IL12RB2 1 f 67773046 67862583
AURKAIP1 1 r 1309110 1310562
AURKAIP1 1 r 1309109 1310580
TMEM54 1 r 33360195 33366953
NVL 1 r 224415035 224517891
AADACL4 1 f 12704565 12727097
MIR4684 1 f 23046009 23046091
NIT1 1 f 161087907 161090984
TMCO1 1 r 165693527 165738159
RBM34 1 r 235315802 235324571
CD1E 1 f 158323485 158327343
TCEANC2 1 f 54519244 54567321
FAM231B 1 f 16865218 16866530
SPATA1 1 f 84971983 85022178
BCAR3 1 r 94027297 94050719
MARCKSL1 1 r 32799429 32801840
RHBDL2 1 r 39351477 39407502
WRAP73 1 r 3547330 3566671
FLVCR1 1 f 213031596 213072705
AK4 1 f 65613512 65697828
ZP4 1 r 238041163 238054222
EIF2B3 1 r 45316193 45452394
SUCO 1 f 172501488 172580975
ECE1 1 r 21543739 21616982
CFHR1 1 f 196788860 196801319
APOA1BP 1 f 156561557 156564091
RGS13 1 f 192605267 192629440
YIPF1 1 r 54317391 54355487
FAM213B 1 f 2517898 2522908
TGFBR3 1 r 92145899 92351836
DCAF6 1 f 167905796 168045083
MIR200B 1 f 1102483 1102578
ACTG1P20 1 f 27650364 27653016
MIR181B1 1 r 198828001 198828111
KCNT2 1 r 196194909 196577561
CROCCP2 1 r 16944750 16957401
TNFRSF25 1 r 6521213 6526255
CTSE 1 f 206317458 206332104
CLDN19 1 r 43198763 43205925
HHLA3 1 f 70820492 70833705
CCDC28B 1 f 32665986 32670991
PRKACB 1 f 84630322 84671122
PRKACB 1 f 84609930 84671122
PRKACB 1 f 84629866 84671122
DIO1 1 f 54359860 54376759
DCST1 1 f 155006281 155023406
PRAMEF25 1 r 13052239 13112702
MIER1 1 f 67395925 67454302
MIER1 1 f 67390577 67454302
CEP170 1 r 243287729 243418708
BEST4 1 r 45249256 45253426
SYT14 1 f 210111518 210337633
FCMR 1 r 207076630 207095378
TMEM200B 1 r 29445936 29450421
ZNF683 1 r 26688124 26699285
CASQ2 1 r 116242625 116311426
MFSD4 1 f 205538111 205572046
PIFO 1 f 111889181 111895639
UROD 1 f 45477804 45481341
PFDN2 1 r 161070345 161087866
PEF1 1 r 32095462 32110838
PLA2G2D 1 r 20439142 20446059
PADI4 1 f 17634689 17690495
PDPN 1 f 13910251 13944452
NFASC 1 f 204797781 204991950
NCDN 1 f 36023392 36032380
CDC42SE1 1 r 151023446 151032125
ESRRG 1 r 216676587 217263196
SETDB1 1 f 150898814 150917797
ESRRG 1 r 216676587 217250312
MIR34A 1 r 9211726 9211836
ANKRD65 1 r 1353799 1356824
SPHAR 1 f 229440128 229441250
TDRD5 1 f 179560756 179660407
SNORA59B 1 f 12567299 12567451
PSMD4 1 f 151227196 151239954
ABL2 1 r 179068461 179198819
PPAP2B 1 r 56960418 57045257
AKR7A2 1 r 19629201 19638640
CDA 1 f 20915443 20945400
JMJD4 1 r 227918889 227923112
IL10 1 r 206940947 206945839
FCGR3B 1 r 161592987 161601753
FCGR3A 1 r 161511550 161519818
CRP 1 r 159682078 159684379
FCGR1A 1 f 149754249 149764074
IL6R 1 f 154377668 154441926
C8A 1 f 57320442 57383894
GSTM1 1 f 110230417 110236367
ATP2B4 1 f 203595914 203713209
RGS7 1 r 240938813 241520530
AZIN2 1 f 33547778 33586132
PIGV 1 f 27114678 27124894
EFCAB2 1 f 245133170 245251148
NTPCR 1 f 233086369 233114219
TMEM79 1 f 156254069 156262234
LRIG2 1 f 113615791 113667824
CEP350 1 f 179923907 180084015
OVAAL 1 f 180528109 180535654
TGFB2-OT1 1 f 218615967 218617337
SSX2IP 1 r 85109389 85156151
SSX2IP 1 r 85109389 85156240
TPR 1 r 186280785 186344457
ARF1 1 f 228270360 228286913
FBLIM1 1 f 16091458 16113084
FBLIM1 1 f 16090993 16101715
S100A13 1 r 153591275 153599524
S100A13 1 r 153591275 153599744
S100A13 1 r 153591275 153600117
SPRR2E 1 r 153065610 153067004
S100A13 1 r 153591275 153606568
HCRTR1 1 f 32083300 32092919
TTC39A 1 r 51752929 51787940
TBCE 1 f 235530674 235612283
G0S2 1 f 209848669 209849735
GPR89B 1 f 147400505 147465753
MYBPHL 1 r 109834986 109849663
CCDC24 1 f 44457279 44462198
CFAP57 1 f 43638000 43676549
GFI1 1 r 92940317 92952433
CA6 1 f 9005892 9035148
DYRK3 1 f 206808880 206822542
RGS4 1 f 163038763 163046592
LCE1B 1 f 152784446 152785585
LCE1A 1 f 152799948 152800573
DUSP10 1 r 221874761 221915518
DUSP10 1 r 221874761 221910242
FAM231D 1 f 149287450 149291743
LOC388692 1 f 149287129 149291743
MROH7 1 f 55107412 55175940
HSPB11 1 r 54387233 54411288
KCTD3 1 f 215740734 215795149
NME7 1 r 169101767 169337201
DNAJC6 1 f 65775217 65881552
MMP23A 1 f 1568158 1570027
MMP23A 1 f 1631377 1633247
PRELP 1 f 203444882 203460479
PEX19 1 r 160246598 160254941
LEPR 1 f 65886334 66101111
CAPN8 1 r 223714971 223853436
FUBP1 1 r 78412166 78444889
USP48 1 r 22004791 22109688
CHD1L 1 f 146714290 146767447
CCNL2 1 r 1327667 1334718
NOS1AP 1 f 162332772 162339813
CYP4A22 1 f 47603096 47614526
PRG4 1 f 186265404 186283694
NDUFS5 1 f 39491966 39500308
LOR 1 f 153232178 153234600
PRAMEF8 1 r 13386914 13390748
AMY1C 1 r 104230040 104238911
AMY1C 1 f 104292440 104301310
ADAM15 1 f 155023747 155035252
CLCA1 1 f 86934525 86965974
STIL 1 r 47715810 47779819
C1orf106 1 f 200860626 200884864
TIMM17A 1 f 201924618 201939789
C1QB 1 f 22979681 22988029
