C0031test1234,chrom,pos,strand,C0033test1234,C0035test1234,C0037test1234
3.66221,1,79,r,7.245589999999999,3.1676900000000003,5.24794
3.4498800000000003,1,125,r,8.874369999999997,7.92155,6.80538
,1,128,r,7.436539999999999,8.68731,6.761889999999998
,1,138,r,5.04715,4.04145,4.36564
,1,140,r,4.69042,4.0,4.62681
3.28634,1,149,r,2.74563,2.52982,3.1334
3.28634,1,169,r,0.0,2.52982,4.6188
3.67423,1,175,r,1.41421,2.74563,5.65685
5.0,1,182,r,2.68328,4.0,4.8107
5.0,1,185,r,4.24264,4.89898,3.28634
6.32456,1,187,r,4.89898,,
4.04145,1,189,r,4.24264,,
,1,106,f,4.74496,2.88231,4.3305
0.0,1,120,f,4.13013,3.6882099999999998,4.01189
1.41421,1,134,f,3.52259,4.15907,3.81314
3.18382,1,176,f,2.74405,2.43118,4.55636
2.52982,1,192,r,,3.8334900000000003,
2.0,1,213,r,,,
1.41421,1,215,r,,,
1.41421,1,216,r,,,
2.40775,1,208,f,1.89769,2.01784,3.0879
4.13808,1,218,f,3.63102,1.41421,3.4391300000000005
2.9119599999999997,1,223,f,2.91519,0.0,1.93107
1.41421,1,228,f,1.90728,0.0,0.0
1.41421,1,229,f,1.89769,0.0,0.0
0.0,1,235,f,1.41421,0.0,0.0
1.41421,1,246,f,1.81799,0.0,1.41421
1.41421,1,250,f,1.41421,0.0,1.41421
3.08325,1,251,f,2.80094,1.41421,2.18643
3.08325,1,254,f,2.90565,2.18908,1.41421
1.41421,1,256,f,2.35433,3.1943799999999998,1.41421
2.5775200000000003,1,261,f,3.12428,3.3120199999999995,2.80087
2.19685,1,276,f,2.5482400000000003,3.09013,1.41421
3.7163699999999995,1,279,f,3.8566,4.7996,3.12887
5.4930699999999995,1,297,f,6.876289999999999,8.10877,5.26136
3.0732,1,301,f,4.66466,4.83699,3.3831300000000004
3.7052300000000002,1,306,f,4.452369999999998,5.17096,3.31109
3.4407699999999997,1,313,f,2.61532,3.61922,2.72502
2.20863,1,316,f,2.8046900000000003,2.8849,3.14088
2.20863,1,333,f,2.86515,2.36026,3.56417
2.9774599999999998,1,335,f,1.81427,1.41421,2.92571
3.45741,1,345,f,1.41421,1.41421,2.58022
3.43719,1,346,f,1.41421,1.41421,2.06964
2.81713,1,362,f,1.41421,2.07539,1.41421
3.11251,1,364,f,1.41421,1.41421,2.20863
2.9588400000000004,1,371,f,0.0,2.19089,2.51462
3.1796,1,403,f,0.0,2.19685,2.92571
3.49488,1,413,f,0.0,1.41421,3.2927699999999995
3.74787,1,417,f,0.0,1.41421,3.96208
3.01057,1,421,f,1.41421,1.41421,3.66233
5.08081,1,423,f,1.41421,2.50713,3.51375
4.91788,1,424,f,1.41421,2.35451,3.3753900000000003
2.74563,1,482,r,,2.52982,
,1,483,r,1.41421,1.41421,
3.54768,1,443,f,1.41421,2.9554,3.74179
1.9477,1,447,f,0.0,1.9011900000000002,1.41421
2.89177,1,455,f,0.0,0.0,1.41421
3.99482,1,492,f,0.0,0.0,1.41421
3.40055,1,496,f,1.41421,0.0,0.0
2.17112,1,512,f,1.41421,1.41421,1.41421
1.41421,1,517,f,2.47185,1.41421,1.41421
1.41421,1,520,f,3.2691,1.8859099999999998,1.99601
,1,484,r,1.41421,2.6726099999999997,
0.0,1,487,r,2.67261,5.34739,1.41421
0.0,1,490,r,2.67261,5.6736699999999995,1.41421
1.41421,1,503,r,2.0,5.3099099999999995,1.41421
1.41421,1,506,r,2.6264,3.5688699999999995,0.0
0.0,1,515,r,1.41421,1.41421,0.0
0.0,1,533,r,0.0,0.0,0.0
0.0,1,538,r,0.0,0.0,0.0
2.1168299999999998,1,522,f,2.33792,2.3556,2.75505
2.1168299999999998,1,525,f,2.60478,1.88253,1.78662
2.44616,1,527,f,2.6118900000000003,2.5342700000000002,1.80527
1.8537599999999999,1,529,f,1.89885,2.0701099999999997,1.41421
0.0,1,539,r,0.0,0.0,1.41421
0.0,1,540,r,0.0,1.41421,2.1475
0.0,1,543,r,0.0,2.06964,1.41421
1.41421,1,544,r,0.0,3.0691900000000003,2.12861
2.0,1,546,f,2.0,1.41421,0.0
2.0,1,547,f,1.41421,1.41421,1.41421
1.41421,1,553,f,0.0,0.0,1.41421
1.41421,1,569,f,0.0,0.0,2.09287
1.41421,1,552,r,0.0,3.27022,2.1139900000000003
1.95992,1,566,r,1.41421,3.74234,2.48928
1.9714900000000002,1,578,r,1.41421,3.74234,2.89413
1.41421,1,581,r,1.41421,2.76653,2.89413
2.92944,1,594,r,2.98991,3.09614,2.70408
1.41421,1,601,r,1.41421,2.11578,2.47496
1.41421,1,602,r,1.41421,1.9090099999999999,2.77763
1.41421,1,606,r,1.41421,1.9131599999999997,1.82968
1.41421,1,575,f,0.0,0.0,2.08153
2.39057,1,589,f,1.41421,1.41421,1.81965
2.78488,1,590,f,1.41421,1.41421,1.7867
1.7695400000000001,1,595,f,1.41421,1.41421,1.87669
2.5026900000000003,1,596,f,2.3806,1.7721,2.22293
2.5743099999999997,1,619,f,2.17112,2.35433,2.5639
2.80176,1,621,f,2.17366,2.72364,2.66037
2.81678,1,624,f,2.35109,2.7486200000000003,2.16277
1.41421,1,607,r,1.41421,1.7591,1.7591
2.34972,1,609,r,2.65881,1.41421,2.43052
2.34972,1,610,r,3.04913,1.41421,2.40961
2.34972,1,614,r,3.4821800000000005,2.22741,2.86628
2.49,1,629,f,1.41421,2.73559,2.1717
2.5040299999999998,1,637,f,0.0,1.89346,1.90728
1.9791,1,643,f,1.41421,1.7597200000000002,1.80284
4.66625,1,644,f,2.26728,3.577,3.06663
4.4932,1,654,f,2.25407,3.26159,3.61892
4.556,1,656,f,2.24202,2.81137,4.18604
2.48624,1,662,f,1.87106,1.41421,4.44064
3.22445,1,666,f,2.05793,1.41421,4.52705
2.6586,1,617,r,3.52474,2.3957200000000003,3.68999
3.6115800000000013,1,636,r,4.51261,5.22802,4.0361400000000005
5.95315,1,653,r,4.94814,7.61937,5.64636
5.83906,1,670,r,4.39506,6.002619999999999,4.669980000000002
2.8733,1,667,f,2.58735,2.0701099999999997,4.514469999999998
2.0,1,674,f,2.98761,2.98829,4.122319999999998
1.41421,1,676,f,3.3046800000000003,2.8861,4.122319999999998
1.41421,1,678,f,2.13397,2.47494,2.54911
4.5650900000000005,1,673,r,3.10425,5.0488800000000005,3.41827
4.8242400000000005,1,684,r,3.0,4.0841,2.49556
2.07174,1,685,r,3.0,3.30641,2.24546
2.94672,1,697,r,5.40758,4.89396,2.86571
5.326169999999999,1,706,r,4.53684,6.8476399999999975,5.36336
4.5913699999999995,1,709,r,3.74817,7.17315,5.98259
6.26945,1,713,r,3.8430800000000014,6.6775100000000025,7.37805
10.07968,1,718,r,3.61092,6.09823,6.88306
2.45683,1,686,f,2.92212,2.67866,2.90418
3.60943,1,688,f,4.0124900000000014,3.8332699999999997,2.71055
4.10369,1,690,f,4.74225,2.87849,2.20428
2.6177799999999998,1,719,f,4.33052,2.36026,1.41421
2.79977,1,722,f,5.64697,2.65579,2.51285
2.0965700000000003,1,736,f,4.63389,2.19372,1.83058
3.05355,1,738,f,4.64471,3.06406,3.39466
4.35294,1,743,f,4.1188699999999985,4.75178,4.0367
9.03423,1,726,r,3.75823,4.93118,4.27471
6.27136,1,729,r,2.18643,5.1256900000000005,4.00752
5.0277400000000005,1,732,r,2.22277,4.39381,4.475
2.91932,1,742,r,2.11342,5.07,4.5721300000000005
2.33816,1,762,r,3.13993,5.2012800000000015,4.43243
2.6877299999999997,1,764,r,2.03891,4.53936,4.88998
3.00772,1,766,r,1.41421,4.1025599999999995,3.26253
3.33647,1,771,r,3.09044,5.02088,4.99449
3.90215,1,750,f,3.4395,5.2664,4.23745
3.48155,1,751,f,3.52456,6.46708,3.63924
3.1764799999999997,1,753,f,4.4289999999999985,5.25301,2.96245
4.503019999999999,1,779,f,5.76354,5.26152,4.07649
3.01887,1,784,f,4.27336,5.33796,3.98704
5.03129,1,787,f,4.85845,4.62237,3.56291
4.65941,1,797,f,4.56005,3.74575,3.05355
4.14565,1,804,f,3.89189,3.30995,0.0
3.1225400000000003,1,772,r,3.3282,5.02341,4.02763
5.80484,1,775,r,5.3559800000000015,5.66697,4.21427
8.321110000000001,1,782,r,7.08205,4.5216199999999995,6.69561
7.6925399999999975,1,801,r,7.273919999999999,4.27822,6.0030800000000015
4.14565,1,810,f,3.46769,4.39107,0.0
4.51047,1,823,f,3.74304,6.017,0.0
4.64175,1,824,f,3.64658,4.24264,1.41421
3.6663099999999997,1,831,f,5.14077,4.0853,1.41421
3.6831699999999996,1,832,f,8.831760000000003,5.0,
5.11682,1,863,f,7.45898,3.09839,
5.23723,1,866,f,8.68282,3.5777099999999997,
6.03684,1,836,r,5.20469,3.86473,4.82878
5.28977,1,842,r,4.80581,4.44473,5.1199
4.56498,1,849,r,3.50394,4.2279599999999995,3.73915
3.81032,1,850,r,2.99282,5.04655,3.59148
1.88818,1,861,r,0.0,3.54943,4.26996
0.0,1,900,r,0.0,3.30237,3.3988
0.0,1,967,r,0.0,2.82843,3.30237
1.41421,1,978,r,,2.82843,3.30237
1.41421,1,984,r,,2.82843,2.44949
,1,990,r,,,
,1,1350,f,,,
,1,1354,f,0.0,0.0,0.0
1.41421,1,1358,f,0.0,0.0,0.0
1.41421,1,1393,f,0.0,0.0,0.0
1.41421,1,1394,f,0.0,0.0,0.0
1.41421,1,1402,f,0.0,0.0,0.0
0.0,1,1409,f,0.0,0.0,0.0
0.0,1,1471,f,0.0,0.0,0.0
0.0,1,1474,f,0.0,0.0,0.0
0.0,1,1476,f,0.0,0.0,0.0
0.0,1,1495,f,0.0,0.0,0.0
0.0,1,1500,f,0.0,0.0,0.0
0.0,1,1504,f,0.0,0.0,0.0
0.0,1,1514,f,0.0,0.0,0.0
0.0,1,1515,f,0.0,0.0,0.0
0.0,1,1516,f,0.0,0.0,0.0
0.0,1,1517,f,0.0,1.41421,1.41421
0.0,1,1525,f,0.0,1.41421,1.41421
0.0,1,1528,f,0.0,1.41421,1.41421
0.0,1,1538,f,0.0,1.41421,1.41421
0.0,1,1545,f,0.0,0.0,0.0
0.0,1,1551,f,1.41421,0.0,0.0
