C0031test1234,chrom,pos,strand,C0033test1234,C0035test1234,C0037test1234
,1,108,f,,,
,1,114,f,,,
,1,160,f,,,
,1,309,f,,,
,1,512,r,0.0,2.98097,0.0
1.41421,1,553,r,0.0,2.96614,0.0
1.41421,1,575,r,0.0,1.41421,0.0
1.41421,1,595,r,0.0,2.00904,0.0
0.0,1,637,r,0.0,1.41421,0.0
0.0,1,643,r,1.41421,1.41421,1.41421
0.0,1,654,r,1.41421,0.0,1.41421
0.0,1,674,r,1.41421,0.0,1.41421
3.1433,1,499,f,3.25865,1.41421,3.2
1.9856900000000002,1,510,f,4.68274,2.54543,1.85653
,1,641,f,,2.18096,
1.41421,1,646,f,,1.41421,
,1,649,f,,,
,1,789,f,,,
,1,808,f,,,
,1,838,f,,,
,1,686,r,,,0.0
0.0,1,719,r,0.0,0.0,0.0
,1,743,r,,,
,1,797,r,,0.0,
,1,1438,f,,,
,1,1753,r,,,
,1,1785,r,,,
,1,1936,r,,,
,1,1966,r,,,
,1,2023,r,,,
,1,2106,r,,,
,1,2172,r,,,
1.41421,1,2317,r,2.04054,0.0,0.0
2.0,1,2329,r,1.97993,0.0,0.0
2.09287,1,2380,r,2.62733,0.0,1.41421
1.41421,1,2399,r,2.06552,1.41421,1.41421
1.41421,1,2432,r,1.41421,1.41421,1.41421
2.00433,1,2859,r,2.08875,0.0,1.41421
2.08153,1,2909,r,2.65747,0.0,2.97318
2.08153,1,2928,r,2.09287,0.0,2.96614
2.0783400000000003,1,2935,r,2.56323,0.0,2.95394
1.41421,1,2961,r,2.0,0.0,1.41421
,1,2972,r,,,
0.0,1,3068,f,0.0,,
,1,3090,f,,,
,1,3122,f,,,
,1,3167,f,,,
,1,3185,r,,,
1.41421,1,3605,r,,0.0,0.0
0.0,1,3672,f,0.0,0.0,0.0
0.0,1,3696,f,0.0,0.0,0.0
0.0,1,3706,f,1.41421,0.0,0.0
0.0,1,3709,f,1.41421,0.0,0.0
0.0,1,3712,f,1.41421,1.41421,0.0
0.0,1,3726,f,1.41421,1.41421,0.0
0.0,1,3742,f,0.0,1.41421,0.0
0.0,1,3746,f,0.0,0.0,0.0
0.0,1,3786,f,0.0,0.0,0.0
0.0,1,3790,f,0.0,0.0,0.0
0.0,1,3794,f,0.0,0.0,0.0
0.0,1,3797,f,0.0,0.0,0.0
,1,3696,r,,,
,1,3712,r,,,
,1,3717,r,,,
0.0,1,3804,r,1.41421,0.0,1.41421
0.0,1,3806,f,0.0,0.0,0.0
0.0,1,3822,f,0.0,0.0,0.0
0.0,1,3833,f,0.0,0.0,0.0
1.41421,1,3849,f,0.0,0.0,0.0
0.0,1,3848,r,3.03703,0.0,1.41421
0.0,1,3851,r,2.0821400000000003,0.0,1.41421
0.0,1,3865,r,2.06964,0.0,0.0
0.0,1,3872,r,2.1475,0.0,0.0
1.41421,1,3851,f,0.0,0.0,0.0
1.41421,1,3854,f,0.0,0.0,0.0
1.94455,1,3872,f,0.0,0.0,0.0
1.41421,1,3893,f,0.0,0.0,0.0
0.0,1,3909,f,0.0,0.0,0.0
0.0,1,3921,f,0.0,0.0,0.0
0.0,1,3951,f,0.0,0.0,0.0
0.0,1,4013,f,0.0,0.0,0.0
0.0,1,4042,f,0.0,0.0,0.0
0.0,1,4066,f,0.0,0.0,0.0
0.0,1,4082,f,0.0,0.0,0.0
0.0,1,4107,f,0.0,0.0,0.0
0.0,1,3890,r,1.41421,0.0,
,1,3909,r,,,
0.0,1,4406,r,1.41421,0.0,0.0
0.0,1,4409,r,1.41421,0.0,0.0
0.0,1,4419,r,1.41421,0.0,0.0
0.0,1,4159,f,0.0,,0.0
