MeH,chrom,dis,pos,strand
1.41421,1,139,511,f
2.7161,1,114,791,r
3.5992,1,102,810,r
4.14064,1,109,840,r
0.0,1,78,2401,r
0.0,1,78,2432,r
0.0,1,63,2867,r
0.0,1,100,2878,r
0.0,1,101,2919,r
0.0,1,37,3673,f
0.0,1,16,3697,f
0.0,1,20,3707,f
0.0,1,33,3710,f
0.0,1,34,3713,f
0.0,1,60,3727,f
0.0,1,48,3743,f
0.0,1,48,3747,f
0.0,1,11,3787,f
0.0,1,16,3791,f
0.0,1,28,3795,f
0.0,1,36,3798,f
0.0,1,29,3824,r
0.0,1,43,3807,f
0.0,1,29,3823,f
0.0,1,21,3834,f
1.41421,1,23,3850,f
0.0,1,21,3835,r
0.0,1,23,3851,r
0.0,1,42,3853,r
0.0,1,55,3856,r
1.41421,1,42,3852,f
1.41421,1,55,3855,f
2.03669,1,49,3873,f
1.41421,1,58,3894,f
0.0,1,104,3910,f
0.0,1,121,3922,f
0.0,1,115,3952,f
0.0,1,69,4014,f
0.0,1,49,3874,r
0.0,1,65,4043,f
0.0,1,93,4067,f
0.0,1,115,4083,f
0.0,1,135,4108,f
0.0,1,169,4699,r
0.0,1,170,4725,r
1.41421,1,160,4870,f
0.0,1,75,5152,r
2.49551,1,103,5363,r
3.35862,1,39,5450,r
0.0,1,120,5600,f
2.08214,1,56,5460,r
1.41421,1,122,6381,r
2.26863,1,60,6453,r
4.62891,1,47,6474,r
0.0,1,125,6692,f
4.14842,1,53,6982,r
1.41421,1,72,8571,r
1.41421,1,74,8585,r
0.0,1,66,8596,r
0.0,1,73,8643,r
0.0,1,73,8659,r
0.0,1,53,10162,r
0.0,1,73,10196,r
0.0,1,98,12019,r
0.0,1,24,12102,r
0.0,1,24,12105,r
0.0,1,24,12117,r
1.41421,1,29,12126,r
1.41421,1,57,12129,r
1.41421,1,78,12141,r
1.41421,1,73,12155,r
0.0,1,86,12186,r
0.0,1,48,12282,f
0.0,1,35,12303,f
0.0,1,27,12316,f
0.0,1,65,12330,f
0.0,1,104,12338,f
0.0,1,111,12343,f
0.0,1,71,12443,r
1.41421,1,87,12455,r
0.0,1,110,12395,f
0.0,1,71,12442,f
1.41421,1,87,12454,f
1.41421,1,54,12505,f
1.41421,1,54,12506,r
0.0,1,51,12514,r
0.0,1,45,12542,r
1.41421,1,52,12560,r
0.0,1,51,12513,f
0.0,1,45,12541,f
0.0,1,52,12559,f
0.0,1,54,12564,f
1.41421,1,54,12565,r
0.0,1,51,12587,r
1.41421,1,51,12612,r
0.0,1,51,12586,f
0.0,1,51,12611,f
0.0,1,49,12618,f
0.0,1,72,12637,f
0.0,1,65,12662,f
0.0,1,78,12667,f
0.0,1,39,12709,f
0.0,1,24,12727,f
0.0,1,27,12745,f
0.0,1,43,12748,f
0.0,1,61,12751,f
0.0,1,60,12772,f
0.0,1,50,12791,f
0.0,1,47,12812,f
0.0,1,69,12832,f
0.0,1,79,12841,f
0.0,1,121,12859,f
0.0,1,47,13672,f
0.0,1,72,13684,f
0.0,1,50,20234,f
0.0,1,38,20252,f
0.0,1,17,20279,f
0.0,1,41,20284,f
0.0,1,59,20290,f
0.0,1,66,20880,f
0.0,1,19,20941,f
0.0,1,49,20943,f
0.0,1,52,20946,f
0.0,1,53,20960,f
0.0,1,24,20992,f
0.0,1,22,20998,f
0.0,1,12,21013,f
0.0,1,40,21016,f
0.0,1,59,21020,f
0.0,1,79,21025,f
0.0,1,75,21056,f
0.0,1,55,21079,f
0.0,1,49,21104,f
0.0,1,36,21131,f
0.0,1,62,21134,f
0.0,1,48,21153,f
0.0,1,56,21167,f
0.0,1,62,21196,f
0.0,1,66,21201,f
0.0,1,56,21168,r
1.41421,1,62,21197,r
1.41421,1,66,21202,r
0.0,1,51,21223,f
0.0,1,19,21258,f
0.0,1,25,21267,f
0.0,1,91,21274,f
1.41421,1,51,21224,r
1.41421,1,19,21259,r
0.0,1,25,21268,r
0.0,1,128,21292,f
0.0,1,81,21365,f
0.0,1,55,21408,f
0.0,1,79,21420,f
0.0,1,72,21874,f
0.0,1,33,21920,f
0.0,1,42,21939,f
1.41421,1,56,21946,f
0.0,1,119,22416,f
0.0,1,99,22464,f
0.0,1,51,22515,f
0.0,1,52,23297,r
0.0,1,84,23338,r
0.0,1,87,23582,r
0.0,1,87,23581,f
1.41421,1,66,23605,f
1.41421,1,75,23614,f
1.41421,1,57,23668,f
1.41421,1,78,23671,f
1.41421,1,87,23689,f
0.0,1,120,23725,f
0.0,1,108,23749,f
0.0,1,89,23776,f
0.0,1,148,23845,f
2.0,1,145,23865,f
2.0,1,22,23993,f
4.18296,1,48,24188,f
2.61236,1,79,24190,f
2.15927,1,107,24196,f
2.76199,1,76,24236,f
2.8294,1,62,24269,f
4.58089,1,49,24303,f
4.05371,1,42,24312,f
3.47518,1,42,24313,r
4.07318,1,83,24331,f
3.86745,1,104,24352,f
3.56732,1,83,24332,r
2.48838,1,104,24353,r
2.27364,1,102,24533,f
2.93176,1,103,24747,f
1.41421,1,103,24748,r
1.41421,1,110,24836,r
1.75468,1,131,24945,f
2.73677,1,48,25036,f
2.7012,1,39,25066,r
2.12086,1,48,25077,r
4.18072,1,39,25065,f
3.75143,1,48,25076,f
3.71821,1,84,25084,f
2.61092,1,67,25104,f
2.0329,1,84,25085,r
2.67652,1,67,25105,r
