C0031test1234,chrom,pos,strand,C0033test1234,C0035test1234,C0037test1234
0.0,1,120,f,4.13013,3.6882099999999998,4.50988
2.0965700000000003,1,134,f,3.52259,4.00288,3.81314
3.18382,1,176,f,2.74405,2.43118,4.7898
2.40775,1,208,f,1.89769,2.01784,3.0879
4.13808,1,218,f,3.63102,1.41421,3.72507
2.9119599999999997,1,223,f,2.91519,0.0,1.93107
1.41421,1,228,f,1.90728,0.0,0.0
1.41421,1,229,f,1.89769,0.0,0.0
0.0,1,235,f,1.41421,0.0,0.0
1.41421,1,246,f,1.81799,0.0,1.41421
1.41421,1,250,f,1.41421,0.0,1.41421
3.08325,1,251,f,3.0556400000000004,1.41421,2.18643
3.08325,1,254,f,2.90565,2.15726,1.41421
1.41421,1,256,f,2.35433,3.1943799999999998,1.41421
2.63616,1,261,f,3.12428,3.3120199999999995,3.22886
2.19685,1,276,f,2.5482400000000003,3.09013,1.41421
3.7163699999999995,1,279,f,3.80379,4.7996,3.12887
5.168159999999999,1,297,f,6.876289999999999,7.8555600000000005,5.26136
3.0732,1,301,f,4.66466,4.83699,3.3831300000000004
3.8643699999999996,1,306,f,4.35056,5.22671,3.61623
3.4407699999999997,1,313,f,2.61532,3.61922,2.72502
2.20863,1,316,f,2.8046900000000003,2.8849,3.14088
2.20863,1,333,f,2.86515,2.36026,3.56417
2.9774599999999998,1,335,f,1.88253,1.41421,2.92571
3.45741,1,345,f,1.41421,1.41421,2.58022
3.43719,1,346,f,1.41421,1.41421,2.06964
2.81713,1,362,f,1.41421,2.07539,1.41421
3.0969,1,364,f,1.41421,1.41421,2.20863
2.9588400000000004,1,371,f,0.0,2.19089,2.51462
3.1796,1,403,f,0.0,2.19685,2.92571
3.49488,1,413,f,0.0,1.41421,3.2927699999999995
3.74787,1,417,f,0.0,1.41421,3.96208
3.01057,1,421,f,1.41421,1.41421,3.66233
5.08081,1,423,f,1.41421,2.50713,3.51375
4.46521,1,424,f,1.41421,2.35451,3.62414
3.77941,1,443,f,1.41421,2.9554,3.74179
1.9477,1,447,f,0.0,1.93107,1.41421
2.91397,1,455,f,0.0,0.0,1.41421
3.99482,1,492,f,0.0,0.0,1.41421
3.40055,1,496,f,1.41421,0.0,0.0
2.17112,1,512,f,1.41421,1.41421,1.41421
1.41421,1,517,f,2.47185,1.41421,1.41421
1.41421,1,520,f,3.2691,1.8859099999999998,1.99601
2.1168299999999998,1,522,f,2.24605,2.3556,2.75505
2.1168299999999998,1,525,f,2.60478,1.88253,1.78662
2.44616,1,527,f,2.6118900000000003,2.37363,1.80527
1.88159,1,529,f,1.9479,2.0701099999999997,1.41421
2.0,1,546,f,2.0,1.41421,0.0
2.0,1,547,f,1.41421,1.41421,1.41421
1.41421,1,553,f,0.0,0.0,1.41421
1.41421,1,569,f,0.0,0.0,2.09287
1.41421,1,575,f,0.0,0.0,2.08153
2.30517,1,589,f,1.41421,1.41421,1.81965
2.78488,1,590,f,1.41421,1.41421,1.7867
1.7695400000000001,1,595,f,1.41421,1.41421,1.87669
2.5895599999999996,1,596,f,1.94812,1.84086,2.06927
2.5743099999999997,1,619,f,2.17112,2.48028,2.5639
2.80176,1,621,f,2.17366,2.5695,2.66037
2.81678,1,624,f,2.35109,2.7486200000000003,2.16277
2.5743099999999997,1,629,f,1.41421,2.73559,2.1717
2.5040299999999998,1,637,f,0.0,1.89346,1.90728
1.9791,1,643,f,1.41421,1.7597200000000002,1.80284
4.66625,1,644,f,2.26728,3.577,3.06663
4.4932,1,654,f,2.25407,3.26159,3.61892
4.556,1,656,f,2.2138400000000003,2.83511,4.18604
2.48624,1,662,f,1.87106,1.41421,4.44064
3.22445,1,666,f,2.05793,1.41421,4.52705
2.8733,1,667,f,2.58735,2.0701099999999997,4.514469999999998
2.0,1,674,f,2.98761,2.98829,4.122319999999998
1.41421,1,676,f,3.3046800000000003,2.8861,4.122319999999998
1.41421,1,678,f,2.14937,2.47494,2.54911
2.55105,1,686,f,2.5066,2.67866,2.56286
3.60943,1,688,f,4.0124900000000014,3.8332699999999997,2.71055
4.269830000000002,1,690,f,5.01844,2.96995,2.22503
